Model,Metric,Target,Mean,Std
Random Forest,RMSE,pce_pcbm(%),0.0353527555704375,0.02601172995462926
Random Forest,RMSE,voc_pcbm(V),0.0353527555704375,0.02601172995462926
Random Forest,RMSE,jsc_pcbm(A.m-2),0.0353527555704375,0.02601172995462926
Random Forest,MAE,pce_pcbm(%),-0.16077585302807834,0.019517353538753515
Random Forest,MAE,voc_pcbm(V),-0.16077585302807834,0.019517353538753515
Random Forest,MAE,jsc_pcbm(A.m-2),-0.16077585302807834,0.019517353538753515
Random Forest,R²,pce_pcbm(%),-38631.55145337533,67572.37822597702
Random Forest,R²,voc_pcbm(V),-38631.55145337533,67572.37822597702
Random Forest,R²,jsc_pcbm(A.m-2),-38631.55145337533,67572.37822597702
Random Forest,R,pce_pcbm(%),0.974495863516505,0.0069103445191299444
Random Forest,R,voc_pcbm(V),0.974495863516505,0.0069103445191299444
Random Forest,R,jsc_pcbm(A.m-2),0.974495863516505,0.0069103445191299444
XGBoost,RMSE,pce_pcbm(%),0.04465761565258403,0.03231444489605587
XGBoost,RMSE,voc_pcbm(V),0.04465761565258403,0.03231444489605587
XGBoost,RMSE,jsc_pcbm(A.m-2),0.04465761565258403,0.03231444489605587
XGBoost,MAE,pce_pcbm(%),-0.19296713505630592,0.05058691499727796
XGBoost,MAE,voc_pcbm(V),-0.19296713505630592,0.05058691499727796
XGBoost,MAE,jsc_pcbm(A.m-2),-0.19296713505630592,0.05058691499727796
XGBoost,R²,pce_pcbm(%),-35378.42908113359,45051.17028451042
XGBoost,R²,voc_pcbm(V),-35378.42908113359,45051.17028451042
XGBoost,R²,jsc_pcbm(A.m-2),-35378.42908113359,45051.17028451042
XGBoost,R,pce_pcbm(%),0.9707213618652343,0.00845823585618692
XGBoost,R,voc_pcbm(V),0.9707213618652343,0.00845823585618692
XGBoost,R,jsc_pcbm(A.m-2),0.9707213618652343,0.00845823585618692
LightGBM,RMSE,pce_pcbm(%),0.028824369906879792,0.023563575434508467
LightGBM,RMSE,voc_pcbm(V),0.028824369906879792,0.023563575434508467
LightGBM,RMSE,jsc_pcbm(A.m-2),0.028824369906879792,0.023563575434508467
LightGBM,MAE,pce_pcbm(%),-0.2411924057847628,0.020379830400934464
LightGBM,MAE,voc_pcbm(V),-0.2411924057847628,0.020379830400934464
LightGBM,MAE,jsc_pcbm(A.m-2),-0.2411924057847628,0.020379830400934464
LightGBM,R²,pce_pcbm(%),-81410.45038734787,160600.3299632456
LightGBM,R²,voc_pcbm(V),-81410.45038734787,160600.3299632456
LightGBM,R²,jsc_pcbm(A.m-2),-81410.45038734787,160600.3299632456
LightGBM,R,pce_pcbm(%),0.9384702194202952,0.015416668281311769
LightGBM,R,voc_pcbm(V),0.9384702194202952,0.015416668281311769
LightGBM,R,jsc_pcbm(A.m-2),0.9384702194202952,0.015416668281311769
Gradient Boosting,RMSE,pce_pcbm(%),0.04333039787154651,0.03409121677849152
Gradient Boosting,RMSE,voc_pcbm(V),0.04333039787154651,0.03409121677849152
Gradient Boosting,RMSE,jsc_pcbm(A.m-2),0.04333039787154651,0.03409121677849152
Gradient Boosting,MAE,pce_pcbm(%),-0.1719407881664033,0.02532273531545323
Gradient Boosting,MAE,voc_pcbm(V),-0.1719407881664033,0.02532273531545323
Gradient Boosting,MAE,jsc_pcbm(A.m-2),-0.1719407881664033,0.02532273531545323
Gradient Boosting,R²,pce_pcbm(%),-18140.192860041447,26402.90223245239
Gradient Boosting,R²,voc_pcbm(V),-18140.192860041447,26402.90223245239
Gradient Boosting,R²,jsc_pcbm(A.m-2),-18140.192860041447,26402.90223245239
Gradient Boosting,R,pce_pcbm(%),0.9749842408466229,0.00788834845256857
Gradient Boosting,R,voc_pcbm(V),0.9749842408466229,0.00788834845256857
Gradient Boosting,R,jsc_pcbm(A.m-2),0.9749842408466229,0.00788834845256857
Ridge,RMSE,pce_pcbm(%),0.038164105743583004,0.016361557532530144
Ridge,RMSE,voc_pcbm(V),0.038164105743583004,0.016361557532530144
Ridge,RMSE,jsc_pcbm(A.m-2),0.038164105743583004,0.016361557532530144
Ridge,MAE,pce_pcbm(%),-0.1492151376752899,0.01159943521791967
Ridge,MAE,voc_pcbm(V),-0.1492151376752899,0.01159943521791967
Ridge,MAE,jsc_pcbm(A.m-2),-0.1492151376752899,0.01159943521791967
Ridge,R²,pce_pcbm(%),-485761.6607138581,956418.4725622489
Ridge,R²,voc_pcbm(V),-485761.6607138581,956418.4725622489
Ridge,R²,jsc_pcbm(A.m-2),-485761.6607138581,956418.4725622489
Ridge,R,pce_pcbm(%),0.9770521341813764,0.00741031323585666
Ridge,R,voc_pcbm(V),0.9770521341813764,0.00741031323585666
Ridge,R,jsc_pcbm(A.m-2),0.9770521341813764,0.00741031323585666
Lasso,RMSE,pce_pcbm(%),0.028824369906832736,0.02356357542437695
Lasso,RMSE,voc_pcbm(V),0.028824369906832736,0.02356357542437695
Lasso,RMSE,jsc_pcbm(A.m-2),0.028824369906832736,0.02356357542437695
Lasso,MAE,pce_pcbm(%),-0.24119240821060622,0.020379831838780754
Lasso,MAE,voc_pcbm(V),-0.24119240821060622,0.020379831838780754
Lasso,MAE,jsc_pcbm(A.m-2),-0.24119240821060622,0.020379831838780754
Lasso,R²,pce_pcbm(%),-81410.44993260351,160600.32906513318
Lasso,R²,voc_pcbm(V),-81410.44993260351,160600.32906513318
Lasso,R²,jsc_pcbm(A.m-2),-81410.44993260351,160600.32906513318
Lasso,R,pce_pcbm(%),0.938470219420323,0.015416668281395318
Lasso,R,voc_pcbm(V),0.938470219420323,0.015416668281395318
Lasso,R,jsc_pcbm(A.m-2),0.938470219420323,0.015416668281395318
Linear Regression,RMSE,pce_pcbm(%),0.043057717250247665,0.014269416768938042
Linear Regression,RMSE,voc_pcbm(V),0.043057717250247665,0.014269416768938042
Linear Regression,RMSE,jsc_pcbm(A.m-2),0.043057717250247665,0.014269416768938042
Linear Regression,MAE,pce_pcbm(%),-0.1664284164610796,0.01806023563834764
Linear Regression,MAE,voc_pcbm(V),-0.1664284164610796,0.01806023563834764
Linear Regression,MAE,jsc_pcbm(A.m-2),-0.1664284164610796,0.01806023563834764
Linear Regression,R²,pce_pcbm(%),-830030.9883257512,1637173.529021097
Linear Regression,R²,voc_pcbm(V),-830030.9883257512,1637173.529021097
Linear Regression,R²,jsc_pcbm(A.m-2),-830030.9883257512,1637173.529021097
Linear Regression,R,pce_pcbm(%),0.9729355491624808,0.007891982275466745
Linear Regression,R,voc_pcbm(V),0.9729355491624808,0.007891982275466745
Linear Regression,R,jsc_pcbm(A.m-2),0.9729355491624808,0.007891982275466745
