smiles_key,smiles,HOMO,LUMO,Gap,HOMO(eV),LUMO(eV),Gap(eV),Scharber_Gap(eV)
gdb 326,O=CC(=O)C=O,-0.2606,-0.1455,0.1151,-7.091287196812,-3.95925666591,3.132030530902,3.132030530902
gdb 723,C1=NN=CN=N1,-0.2475,-0.1121,0.1355,-6.73481803995,-3.050396372842,3.68714280571,3.68714280571
gdb 1587,CC(=O)C(=O)C=O,-0.2489,-0.1149,0.134,-6.772913980378,-3.126588253698,3.64632572668,3.64632572668
gdb 1589,NC(=O)C(=O)C=O,-0.2482,-0.1217,0.1265,-6.753866010164,-3.311625678634,3.44224033153,3.44224033153
gdb 2115,O=C1CC=CC1=O,-0.2347,-0.0951,0.1396,-6.386512298894,-2.587802810502,3.798709488392,3.798709488392
gdb 2124,O=C1CNCC1=O,-0.2199,-0.0939,0.126,-5.983783785798,-2.555149147278,3.42863463852,3.42863463852
gdb 2125,O=C1COCC1=O,-0.2394,-0.104,0.1354,-6.514405813188,-2.82998414608,3.684421667108,3.684421667108
gdb 4019,NC(=[NH2+])C(C=O)=N[O-],-0.1824,-0.0552,0.1272,-4.963356810048,-1.502068508304,3.461288301744,3.461288301744
gdb 4605,NC1=CNC(=O)C=N1,-0.1974,-0.058,0.1395,-5.371527600347999,-1.57826038916,3.79598834979,3.79598834979
gdb 4608,NC1=COC(=N)C=N1,-0.2002,-0.0657,0.1345,-5.447719481204,-1.7877880615139998,3.65993141969,3.65993141969
gdb 4611,NC1=COC(=O)C=N1,-0.2162,-0.0803,0.1359,-5.883101657524,-2.185074297406,3.698027360118,3.698027360118
gdb 4613,OC1=CNC(=N)C=N1,-0.1886,-0.0591,0.1295,-5.132067403372,-1.608192913782,3.52387448959,3.52387448959
gdb 4618,OC1=COC(=N)C=N1,-0.2139,-0.0756,0.1384,-5.820515469678,-2.057180783112,3.766055825168,3.766055825168
gdb 4807,[NH3+]CC1=CC([O-])=CO1,-0.1896,-0.1091,0.0805,-5.159278789391999,-2.968762214782,2.19051657461,2.19051657461
gdb 5034,[O-]C1=COC=CC1=[NH2+],-0.1837,-0.0473,0.1364,-4.998731611874,-1.287098558746,3.711633053128,3.711633053128
gdb 6059,NC(=[NH2+])C#CC([O-])=O,-0.207,-0.0825,0.1245,-5.632756906139999,-2.24493934665,3.38781755949,3.38781755949
gdb 6273,CN(C)CC(=O)C=O,-0.2234,-0.0885,0.1349,-6.079023636868,-2.40820766277,3.670815974098,3.670815974098
gdb 6683,[O-]C(=O)CCNC=[NH2+],-0.1521,-0.0755,0.0766,-4.138851813642,-2.05445964451,2.084392169132,2.084392169132
gdb 7902,CN1CC(=O)C(=O)C1,-0.2128,-0.0938,0.1191,-5.790582945055999,-2.552428008676,3.240876074982,3.240876074982
gdb 8721,O=CC(=O)C(=O)C#C,-0.257,-0.1375,0.1194,-6.99332620714,-3.74156557775,3.2490394907880003,3.2490394907880003
gdb 8723,O=CC(=O)C(=O)C=O,-0.2554,-0.1571,0.0983,-6.949787989508001,-4.274908743742,2.674879245766,2.674879245766
gdb 8779,CN=C(N)C(=O)C=O,-0.2416,-0.1024,0.1392,-6.574270862432,-2.786445928448,3.787824933984,3.787824933984
gdb 8786,CNC(=N)C(=O)C#N,-0.2522,-0.1172,0.135,-6.862711554243999,-3.189174441544,3.6735371127,3.6735371127
gdb 8792,CCC(=O)C(=O)C=O,-0.2469,-0.1131,0.1337,-6.718491208338,-3.077607758862,3.638162310874,3.638162310874
gdb 8793,CNC(=N)C(=O)C=O,-0.2355,-0.119,0.1165,-6.40828140771,-3.23815493638,3.17012647133,3.17012647133
gdb 8794,CNC(=O)C(=O)C=O,-0.2456,-0.1188,0.1268,-6.683116406512,-3.232712659176,3.450403747336,3.450403747336
gdb 8795,COC(=O)C(=O)C=O,-0.2556,-0.124,0.1315,-6.955230266711999,-3.37421186648,3.57829726163,3.57829726163
gdb 8796,OCC(=O)C(=O)C=O,-0.2478,-0.1304,0.1174,-6.742981455756,-3.548364737008,3.194616718748,3.194616718748
gdb 9986,[NH2+]=CN[C-](C#N)C#N,-0.1882,-0.0529,0.1353,-5.121182848964,-1.439482320458,3.681700528506,3.681700528506
gdb 10016,NC=[NH+][C-](C#N)C#N,-0.1882,-0.0529,0.1353,-5.121182848964,-1.439482320458,3.681700528506,3.681700528506
gdb 10785,[NH2+]=C1O[CH-]C(=O)C=C1,-0.1784,-0.0673,0.1111,-4.854511265968,-1.831326279146,3.023184986822,3.023184986822
gdb 12585,NC1=NCC(=O)C1=O,-0.2318,-0.1135,0.1182,-6.307599279436,-3.08849231327,3.216385827564,3.216385827564
gdb 12617,CC1C=CC(=O)C1=O,-0.232,-0.0935,0.1385,-6.31304155664,-2.54426459287,3.76877696377,3.76877696377
gdb 12653,CC1NCC(=O)C1=O,-0.2175,-0.0924,0.1251,-5.91847645935,-2.514332068248,3.404144391102,3.404144391102
gdb 12654,CC1OCC(=O)C1=O,-0.2373,-0.1026,0.1346,-6.457261902546,-2.791888205652,3.662652558292,3.662652558292
gdb 13588,CN1CC1C(=O)C=O,-0.2384,-0.1005,0.1379,-6.487194427168,-2.73474429501,3.752450132158,3.752450132158
gdb 16607,O=C1CN2CC2C1=O,-0.2344,-0.0952,0.1391,-6.378348883088,-2.590523949104,3.785103795382,3.785103795382
gdb 20482,C1OC2=C(O1)N=NO2,-0.227,-0.0914,0.1356,-6.17698462654,-2.487120682228,3.689863944312,3.689863944312
gdb 21134,CN=C1NN=CC=N1,-0.2157,-0.0771,0.1386,-5.869495964514,-2.097997862142,3.771498102372,3.771498102372
gdb 21364,N1C=CC2=C1ON=N2,-0.2015,-0.0678,0.1337,-5.48309428303,-1.844931972156,3.638162310874,3.638162310874
gdb 21398,N=C1N=CN=NC=N1,-0.2493,-0.1302,0.119,-6.783798534786,-3.542922459804,3.23815493638,3.23815493638
gdb 21644,NC1=NNC(=N)C=N1,-0.1976,-0.0696,0.128,-5.376969877552,-1.893912466992,3.48305741056,3.48305741056
gdb 21645,NC1=NNC(=N)N=C1,-0.2015,-0.0712,0.1303,-5.48309428303,-1.937450684624,3.545643598406,3.545643598406
gdb 21703,NC=[NH+]C1=CN=N[N-]1,-0.2007,-0.0651,0.1356,-5.461325174213999,-1.771461229902,3.689863944312,3.689863944312
gdb 21706,NC=[NH+]C1=NC=N[N-]1,-0.1917,-0.0586,0.1331,-5.216422700034,-1.594587220772,3.621835479262,3.621835479262
gdb 21741,O1C=CC2=C1ON=N2,-0.2223,-0.0828,0.1395,-6.049091112246,-2.253102762456,3.79598834979,3.79598834979
gdb 21769,O=C1C=CN=NC=C1,-0.2457,-0.1177,0.128,-6.685837545114,-3.202780134554,3.48305741056,3.48305741056
gdb 21770,O=C1N=CN=NC=N1,-0.2565,-0.1386,0.1179,-6.97972051413,-3.771498102372,3.208222411758,3.208222411758
gdb 21783,O=CC1=CN=NC=N1,-0.2547,-0.1161,0.1386,-6.930740019293999,-3.159241916922,3.771498102372,3.771498102372
gdb 21891,OC1=NNC(=N)C=N1,-0.2136,-0.079,0.1346,-5.812352053872,-2.14969949558,3.662652558292,3.662652558292
gdb 22001,ON=C1C=CC=CC=C1,-0.1925,-0.0664,0.1261,-5.23819180885,-1.806836031728,3.431355777122,3.431355777122
gdb 22029,ON=C1C=CN=NC=C1,-0.2286,-0.0977,0.1309,-6.220522844172,-2.658552414154,3.5619704300179995,3.5619704300179995
gdb 22054,CC(=N[O-])C#CC(N)=[NH2+],-0.1749,-0.0654,0.1095,-4.759271414898,-1.7796246457079998,2.97964676919,2.97964676919
gdb 22209,NC(=[NH2+])C(CC#C)=N[O-],-0.1812,-0.0435,0.1378,-4.930703146824,-1.18369529187,3.749728993556,3.749728993556
gdb 22213,NC(=[NH2+])C(CC=O)=N[O-],-0.183,-0.0452,0.1378,-4.979683641659999,-1.2299546481039998,3.749728993556,3.749728993556
gdb 22229,C[NH2+]CC(=O)C(C)=N[O-],-0.1846,-0.0568,0.1278,-5.023221859292,-1.545606725936,3.477615133356,3.477615133356
gdb 22230,C[NH2+]CC(=N[O-])C(C)=O,-0.1852,-0.064,0.1213,-5.039548690904,-1.74152870528,3.300741124226,3.300741124226
gdb 22438,C[NH+]=C(N)C(C=O)=N[O-],-0.1752,-0.0471,0.1281,-4.767434830704,-1.281656281542,3.485778549162,3.485778549162
gdb 22441,CNC(=[NH2+])C(C=O)=N[O-],-0.1752,-0.0471,0.1281,-4.767434830704,-1.281656281542,3.485778549162,3.485778549162
gdb 22482,NC=[NH+]CC(CO)=N[O-],-0.1509,-0.0707,0.0801,-4.106198150418,-1.923844991614,2.179632020202,2.179632020202
gdb 22543,C[NH2+]C(C#C)C(C)=N[O-],-0.2174,-0.1024,0.115,-5.9157553207480005,-2.786445928448,3.1293093923,3.1293093923
gdb 22652,ON=C1CNC(C=O)=C1,-0.2042,-0.0811,0.1232,-5.556565025284,-2.206843406222,3.352442757664,3.352442757664
gdb 22876,CN1C=CC(=NO)C1=N,-0.197,-0.058,0.1389,-5.36064304594,-1.57826038916,3.779661518178,3.779661518178
gdb 22971,[O-]N=C(C#N)C1CC[NH2+]1,-0.2335,-0.1059,0.1276,-6.35385863567,-2.8816857795179995,3.472172856152,3.472172856152
gdb 22973,[O-]N=C(C=O)C1CC[NH2+]1,-0.2146,-0.104,0.1105,-5.839563439892,-2.82998414608,3.00685815521,3.00685815521
gdb 22979,OCC(=N[O-])C1CC[NH2+]1,-0.2209,-0.102,0.1188,-6.010995171818,-2.77556137404,3.232712659176,3.232712659176
gdb 23066,CC(=N[O-])C12C[NH+]1CC2,-0.2035,-0.0817,0.1218,-5.53751705507,-2.223170237834,3.314346817236,3.314346817236
gdb 23140,[O-]N=C(CC#C)C1C[NH2+]1,-0.2163,-0.0979,0.1183,-5.885822796126,-2.663994691358,3.219106966166,3.219106966166
gdb 23152,COCC(=N[O-])C1C[NH2+]1,-0.2152,-0.0959,0.1193,-5.855890271504,-2.609571919318,3.246318352186,3.246318352186
gdb 23364,NC(=[NH2+])C(=N[O-])C1CN1,-0.1808,-0.049,0.1318,-4.919818592415999,-1.33335791498,3.586460677436,3.586460677436
gdb 23509,ON=C1C=C2NC3C2C13,-0.2093,-0.0738,0.1355,-5.695343093986001,-2.008200288276,3.68714280571,3.68714280571
gdb 23615,[O-]N=C(C1C[NH2+]1)C1CO1,-0.2179,-0.0976,0.1203,-5.929361013758,-2.655831275552,3.273529738206,3.273529738206
gdb 23724,FC1=CNC(=N)C=N1,-0.2063,-0.0667,0.1396,-5.613708935926,-1.814999447534,3.798709488392,3.798709488392
gdb 23840,FC1=NNC(=N)C=N1,-0.2304,-0.0913,0.1391,-6.269503339008,-2.484399543626,3.785103795382,3.785103795382
gdb 23841,FC1=NNC(=N)N=C1,-0.2303,-0.091,0.1393,-6.266782200406,-2.47623612782,3.790546072586,3.790546072586
gdb 24471,N1C=NC2=CN=CC2=C1,-0.1935,-0.056,0.1375,-5.26540319487,-1.52383761712,3.74156557775,3.74156557775
gdb 24525,N1C=CC=C2C=NC=C12,-0.1824,-0.0576,0.1248,-4.963356810048,-1.567375834752,3.395980975296,3.395980975296
gdb 24528,N1C=CN=C2C=CC=C12,-0.1857,-0.0581,0.1275,-5.053154383914,-1.5809815277619998,3.46945171755,3.46945171755
gdb 24530,N1C=CN=C2C=NC=C12,-0.1961,-0.0801,0.116,-5.336152798522,-2.179632020202,3.15652077832,3.15652077832
gdb 24535,N1C=NC=C2C=NC=C12,-0.2003,-0.0676,0.1327,-5.450440619806,-1.839489694952,3.610950924854,3.610950924854
gdb 24538,O1C=CC=C2C=CC=C12,-0.1908,-0.0598,0.131,-5.191932452615999,-1.627240883996,3.56469156862,3.56469156862
gdb 24540,O1C=CC=C2C=NC=C12,-0.2025,-0.0805,0.122,-5.51030566905,-2.19051657461,3.31978909444,3.31978909444
gdb 24543,O1C=CN=C2C=CC=C12,-0.2066,-0.0817,0.1249,-5.621872351732,-2.223170237834,3.398702113898,3.398702113898
gdb 24545,O1C=CN=C2C=NC=C12,-0.2193,-0.1038,0.1155,-5.967456954186,-2.824541868876,3.14291508531,3.14291508531
gdb 24548,O1C=NC=C2C=CC=C12,-0.2061,-0.07,0.1361,-5.608266658722,-1.9047970214,3.703469637322,3.703469637322
gdb 24550,O1C=NC=C2C=NC=C12,-0.2198,-0.091,0.1288,-5.981062647196,-2.47623612782,3.504826519376,3.504826519376
gdb 24760,O=C1C=CC2=C1C=CN2,-0.2004,-0.0747,0.1257,-5.453161758408,-2.032690535694,3.420471222714,3.420471222714
gdb 24761,O=C1C=CC2=C1C=CO2,-0.2172,-0.0914,0.1258,-5.910313043544,-2.487120682228,3.423192361316,3.423192361316
gdb 24762,O=C1C=CC2=C1N=CN2,-0.2166,-0.0863,0.1303,-5.893986211931999,-2.348342613526,3.545643598406,3.545643598406
gdb 24763,O=C1C=CC2=C1N=CO2,-0.2349,-0.1031,0.1318,-6.391954576098,-2.805493898662,3.586460677436,3.586460677436
gdb 24764,O=C1C=CC2=C1NC=C2,-0.2054,-0.0766,0.1288,-5.589218688508,-2.084392169132,3.504826519376,3.504826519376
gdb 24765,O=C1C=CC2=C1NC=N2,-0.2188,-0.0883,0.1306,-5.953851261175999,-2.402765385566,3.5538070142119995,3.5538070142119995
gdb 24766,O=C1C=CC2=C1OC=C2,-0.2233,-0.093,0.1303,-6.076302498266,-2.53065889986,3.545643598406,3.545643598406
gdb 24767,O=C1C=CC2=C1OC=N2,-0.2381,-0.1052,0.1329,-6.479031011362,-2.862637809304,3.616393202058,3.616393202058
gdb 24768,O=C1C=CC2=CC=CN12,-0.2148,-0.0826,0.1322,-5.845005717096,-2.247660485252,3.597345231844,3.597345231844
gdb 24770,O=C1C=CC2=NC=CN12,-0.2318,-0.0994,0.1324,-6.307599279436,-2.704811770388,3.6027875090479995,3.6027875090479995
gdb 24846,N=C1NC(=N)N=CC=N1,-0.2462,-0.1086,0.1376,-6.699443238124,-2.955156521772,3.744286716352,3.744286716352
gdb 24871,N=C1NC(=CC=N1)C#N,-0.2328,-0.0985,0.1343,-6.334810665456,-2.68032152297,3.654489142486,3.654489142486
gdb 24872,N=C1NC(=CN=C1)C#C,-0.2094,-0.0715,0.1378,-5.698064232588,-1.94561410043,3.749728993556,3.749728993556
gdb 24873,N=C1NC(=CN=C1)C#N,-0.2324,-0.0946,0.1378,-6.323926111047999,-2.574197117492,3.749728993556,3.749728993556
gdb 25164,N=C1NC=CN=C1C#N,-0.2292,-0.0943,0.1349,-6.236849675784,-2.566033701686,3.670815974098,3.670815974098
gdb 25197,N=C1NC=CN=CC1=O,-0.2303,-0.0969,0.1334,-6.266782200406,-2.636783305338,3.629998895068,3.629998895068
gdb 25304,O=CC(=O)N1C=CC=C1,-0.2326,-0.102,0.1306,-6.329368388252,-2.77556137404,3.5538070142119995,3.5538070142119995
gdb 25305,O=CC(=O)N1C=CN=C1,-0.254,-0.1149,0.1391,-6.91169204908,-3.126588253698,3.785103795382,3.785103795382
gdb 25328,N=C1C=C(NC=N1)C=O,-0.2286,-0.0904,0.1382,-6.220522844172,-2.459909296208,3.760613547964,3.760613547964
gdb 25330,N=C1C=CNC(C=O)=N1,-0.2222,-0.091,0.1312,-6.046369973644,-2.47623612782,3.5701338458240004,3.5701338458240004
gdb 25340,N=C1OC=CC(C=O)=C1,-0.2318,-0.0925,0.1393,-6.307599279436,-2.51705320685,3.790546072586,3.790546072586
gdb 25341,N=C1OC=CC(C=O)=N1,-0.2482,-0.1116,0.1365,-6.753866010164,-3.036790679832,3.71435419173,3.71435419173
gdb 25382,N=C1NC(C=O)=CN=C1,-0.2243,-0.0999,0.1244,-6.103513884286,-2.718417463398,3.385096420888,3.385096420888
gdb 25383,N=C1NC(C=O)=NC=C1,-0.2298,-0.0982,0.1316,-6.253176507396,-2.672158107164,3.581018400232,3.581018400232
gdb 25384,N=C1NC(C=O)=NC=N1,-0.2491,-0.1142,0.1349,-6.778356257582,-3.107540283484,3.670815974098,3.670815974098
gdb 25385,N=C1OC(C=O)=CC=C1,-0.2331,-0.0944,0.1387,-6.342974081262,-2.568754840288,3.774219240974,3.774219240974
gdb 25386,N=C1OC(C=O)=CC=N1,-0.2512,-0.1143,0.1369,-6.835500168223999,-3.110261422086,3.725238746138,3.725238746138
gdb 25400,N=C1NC=CN=C1C=O,-0.2227,-0.0888,0.1339,-6.059975666654,-2.416371078576,3.643604588078,3.643604588078
gdb 25531,[NH2+]=CNC1=COC(=O)[N-]1,-0.1544,-0.056,0.0984,-4.201438001488,-1.52383761712,2.677600384368,2.677600384368
gdb 25821,NC(=[NH2+])C1=NC=C([O-])N1,-0.1857,-0.0482,0.1375,-5.053154383914,-1.311588806164,3.74156557775,3.74156557775
gdb 25860,NC(=[NH2+])C1=CNC(=O)[N-]1,-0.1581,-0.0481,0.11,-4.302120129762,-1.308867667562,2.9932524622,2.9932524622
gdb 26187,CC([NH3+])C1=CC([O-])=CO1,-0.1827,-0.1038,0.0789,-4.971520225853999,-2.824541868876,2.146978356978,2.146978356978
gdb 26539,CC1=C([O-])C(=[NH2+])C=CO1,-0.175,-0.0432,0.1318,-4.7619925535,-1.175531876064,3.586460677436,3.586460677436
gdb 26861,CC1=C(N)N=CC(=N)O1,-0.1974,-0.0653,0.1321,-5.371527600347999,-1.7769035071059998,3.594624093242,3.594624093242
gdb 26863,CC1=C(N)N=CC(=O)O1,-0.2121,-0.0753,0.1368,-5.771534974842,-2.049017367306,3.722517607536,3.722517607536
gdb 26877,CC1=C(O)N=CC(=N)N1,-0.1834,-0.0544,0.129,-4.990568196068,-1.4802993994879998,3.51026879658,3.51026879658
gdb 26878,CC1=C(O)N=CC(=N)O1,-0.2054,-0.0731,0.1323,-5.589218688508,-1.989152318062,3.600066370446,3.600066370446
gdb 26880,CC1=C(O)N=CC(=O)O1,-0.223,-0.0835,0.1395,-6.06813908246,-2.27215073267,3.79598834979,3.79598834979
gdb 26905,NC1=C(O)N=CC(=N)O1,-0.1841,-0.0556,0.1285,-5.009616166282,-1.5129530627119998,3.49666310357,3.49666310357
gdb 26907,NC1=C(O)N=CC(=O)O1,-0.1969,-0.065,0.132,-5.357921907338,-1.7687400913,3.59190295464,3.59190295464
gdb 26912,NC1=C(O)OC(=N)C=N1,-0.1857,-0.0583,0.1274,-5.053154383914,-1.5864238049659998,3.4667305789480003,3.4667305789480003
gdb 26915,NC1=C(O)OC(=O)C=N1,-0.1996,-0.0714,0.1283,-5.431392649592,-1.942892961828,3.491220826366,3.491220826366
gdb 26921,OC1=C(O)N=CC(=N)N1,-0.1808,-0.0476,0.1332,-4.919818592415999,-1.295261974552,3.624556617864,3.624556617864
gdb 26922,OC1=C(O)N=CC(=N)O1,-0.197,-0.0655,0.1315,-5.36064304594,-1.78234578431,3.57829726163,3.57829726163
gdb 27294,CC1=CC(=[NH2+])C([O-])=CO1,-0.1772,-0.0427,0.1346,-4.821857602744,-1.161926183054,3.662652558292,3.662652558292
gdb 27431,NC1=CC(=N)C=NC=N1,-0.213,-0.077,0.1361,-5.79602522226,-2.09527672354,3.703469637322,3.703469637322
gdb 27438,NC1=CC(=O)N=CC=N1,-0.2314,-0.0927,0.1386,-6.296714725028,-2.522495484054,3.771498102372,3.771498102372
gdb 28830,NC1=CC=CC(=O)C=N1,-0.2094,-0.0745,0.1349,-5.698064232588,-2.02724825849,3.670815974098,3.670815974098
gdb 28836,NC1=CN=CC(=N)C=N1,-0.2051,-0.0731,0.132,-5.581055272702,-1.989152318062,3.59190295464,3.59190295464
gdb 28839,NC1=CN=CC(=O)C=N1,-0.2194,-0.0871,0.1324,-5.970178092788,-2.370111722342,3.6027875090479995,3.6027875090479995
gdb 28851,OC1=CC=CC(=O)C=N1,-0.229,-0.0898,0.1392,-6.23140739858,-2.443582464596,3.787824933984,3.787824933984
gdb 29051,NC1=CN=CC=NC1=N,-0.2117,-0.0824,0.1294,-5.760650420434,-2.242218208048,3.5211533509879995,3.5211533509879995
gdb 29052,NC1=CN=CC=NC1=O,-0.2283,-0.0922,0.1361,-6.212359428366,-2.508889791044,3.703469637322,3.703469637322
gdb 29053,NC1=CN=CN=CC1=N,-0.2087,-0.0766,0.1321,-5.679016262374,-2.084392169132,3.594624093242,3.594624093242
gdb 29054,NC1=CN=CN=CC1=O,-0.2243,-0.0867,0.1377,-6.103513884286,-2.359227167934,3.747007854954,3.747007854954
gdb 29144,CC1=NC(N)=COC1=N,-0.1952,-0.0564,0.1388,-5.311662551104,-1.534722171528,3.776940379576,3.776940379576
gdb 29558,CC1=COC=C([O-])C1=[NH2+],-0.1805,-0.0446,0.1359,-4.91165517661,-1.213627816492,3.698027360118,3.698027360118
gdb 29564,NC1=COC=C([O-])C1=[NH2+],-0.1799,-0.0476,0.1323,-4.895328344998,-1.295261974552,3.600066370446,3.600066370446
gdb 29822,CN1C=C(N)N=CC1=O,-0.1934,-0.0563,0.1371,-5.262682056268,-1.532001032926,3.730681023342,3.730681023342
gdb 29825,CN1C=C(O)N=CC1=N,-0.1846,-0.0544,0.1303,-5.023221859292,-1.4802993994879998,3.545643598406,3.545643598406
gdb 30457,CN=C1NC=C(O)C=N1,-0.1839,-0.0524,0.1315,-5.004173889078,-1.425876627448,3.57829726163,3.57829726163
gdb 30458,CN=C1NC=C(O)N=C1,-0.1825,-0.0595,0.123,-4.96607794865,-1.61907746819,3.34700048046,3.34700048046
gdb 30464,CN=C1OC=C(N)N=C1,-0.1952,-0.0612,0.134,-5.311662551104,-1.665336824424,3.64632572668,3.64632572668
gdb 30466,CN=C1OC=C(O)N=C1,-0.2077,-0.0707,0.137,-5.651804876353999,-1.923844991614,3.72795988474,3.72795988474
gdb 30538,NC=[NH+]C1=CC=C([O-])O1,-0.1665,-0.0602,0.1063,-4.53069577233,-1.6381254384039998,2.8925703339260003,2.8925703339260003
gdb 30540,NC=[NH+]C1=CN=C(O)[N-]1,-0.1563,-0.0502,0.1061,-4.253139634926,-1.366011578204,2.887128056722,2.887128056722
gdb 30546,NC=[NH+]C1=C[N-]C(=N)O1,-0.1663,-0.0642,0.1021,-4.525253495126,-1.7469709824839998,2.778282512642,2.778282512642
gdb 30549,NC=[NH+]C1=COC(=O)[N-]1,-0.1544,-0.056,0.0984,-4.201438001488,-1.52383761712,2.677600384368,2.677600384368
gdb 30552,NC=[NH+]C1=COC([O-])=N1,-0.1542,-0.0718,0.0825,-4.195995724284,-1.953777516236,2.24493934665,2.24493934665
gdb 30706,CC1=C(C[NH3+])OC=C1[O-],-0.181,-0.1039,0.0772,-4.92526086962,-2.827263007478,2.100719000744,2.100719000744
gdb 30762,NC1=COC(C[NH3+])=C1[O-],-0.2132,-0.0767,0.1365,-5.801467499464,-2.087113307734,3.71435419173,3.71435419173
gdb 31171,NC1=COC([O-])=C1C[NH3+],-0.1913,-0.0567,0.1345,-5.205538145626,-1.542885587334,3.65993141969,3.65993141969
gdb 32344,CNC1=CNC(=O)C=N1,-0.1893,-0.0563,0.133,-5.151115373585999,-1.532001032926,3.61911434066,3.61911434066
gdb 32347,CNC1=COC(=N)C=N1,-0.1965,-0.0644,0.1321,-5.34703735293,-1.752413259688,3.594624093242,3.594624093242
gdb 32350,CNC1=COC(=O)C=N1,-0.2089,-0.0787,0.1302,-5.684458539578,-2.141536079774,3.542922459804,3.542922459804
gdb 32352,COC1=CNC(=N)C=N1,-0.1841,-0.0564,0.1277,-5.009616166282,-1.534722171528,3.4748939947540003,3.4748939947540003
gdb 32357,COC1=COC(=N)C=N1,-0.2073,-0.0727,0.1345,-5.640920321946,-1.978267763654,3.65993141969,3.65993141969
gdb 32360,COC1=COC(=O)C=N1,-0.2253,-0.0869,0.1384,-6.130725270306,-2.364669445138,3.766055825168,3.766055825168
gdb 32866,C[NH2+]CC1=CC([O-])=CO1,-0.1902,-0.1097,0.0805,-5.175605621004,-2.985089046394,2.19051657461,2.19051657461
gdb 34480,C#CC1=C2CC3C2N3C1,-0.2079,-0.0688,0.1391,-5.657247153558,-1.872143358176,3.785103795382,3.785103795382
gdb 36993,C1=C2C3C4C1C1C2C3N41,-0.186,-0.0825,0.1035,-5.061317799719999,-2.24493934665,2.81637845307,2.81637845307
gdb 36994,C1=C2C3C4C1C1C4C3C21,-0.183,-0.068,0.115,-4.979683641659999,-1.85037424936,3.1293093923,3.1293093923
gdb 37079,C1C2=CC3C=C1C1C2N31,-0.2067,-0.1232,0.0835,-5.624593490334,-3.352442757664,2.27215073267,2.27215073267
gdb 37080,C1C2=CC3C=C1C1C3C21,-0.1936,-0.1095,0.0841,-5.268124333472,-2.97964676919,2.288477564282,2.288477564282
gdb 37081,C1C2=CC3N=C1N1C3C21,-0.2167,-0.1117,0.105,-5.896707350534,-3.039511818434,2.8571955321,2.8571955321
gdb 37493,C1C2C3C1C1C=C3CC21,-0.1873,-0.0664,0.1208,-5.096692601546,-1.806836031728,3.287135431216,3.287135431216
gdb 37495,C1C2C3C1N1CC3=CC21,-0.1912,-0.0812,0.11,-5.202817007024,-2.209564544824,2.9932524622,2.9932524622
gdb 37496,C1C2C3N1C1C=C3CC21,-0.1975,-0.0734,0.1241,-5.37424873895,-1.997315733868,3.376933005082,3.376933005082
gdb 37497,C1C2C3N1C1CC3=CC21,-0.1892,-0.0672,0.122,-5.148394234984,-1.828605140544,3.31978909444,3.31978909444
