smiles_key,SMILES,HOMO(eV),HOMO_xtb_RD(eV),HOMO_HF_RD(eV),HOMO_DFT_RD(eV),LUMO(eV),LUMO_xtb_RD(eV),LUMO_HF_RD(eV),LUMO_DFT_RD(eV),GAP(eV),GAP_xtb_RD(eV),GAP_HF_RD(eV),GAP_DFT_RD(eV),ToT Energie(eV),ToT Energie(Kcal/mol),Times(s),rmsd_pre(A),rmsd_conf(A),rmsd1_conf(A),rmsd_opt(A),rmsd1_opt(A),rdkit_time,xtb_time,crest_time,xtb_opt_time,dft_time,xtb_cal_time
gdb 4380,OC1=CN=CC(O)=N1,-6.323926111047999,-7.3872,-8.821217823977822,-6.337729894908198,-1.0775708863920002,-6.2732,2.6133274748711073,-1.2142675891151766,5.246355224656,1.114069251352,11.43454529884893,5.123462305793021,-15366.620302079955,-666.359719156474,119.16220998764038,0.07052521540323413,0.4365344398874897,0.43679631831048027,0.44497790314411817,0.0013604481056519405,0.07678461074829102,0.5241518020629883,18.33095908164978,0.2503378391265869,96.56997418403625,0.0009338855743408203
gdb 9022,CC(C#N)C#CC#C,-7.134825414443999,-8.0483,-9.217542530457685,-6.771260010655417,-0.930629401884,-7.16,0.6807870984875675,-2.946418200707446,6.20419601256,0.888254131602,9.898329628945252,3.8248418099479706,-12647.586859561981,-548.4512704855523,123.13825178146362,0.5400638332748628,0.47714302206864356,0.47676987193335657,0.21684567787079126,0.008153473754333852,0.013536214828491211,0.7538814544677734,22.901055812835693,0.27317023277282715,96.5003399848938,0.0008721351623535156
gdb 14590,O=CNC=NCC#C,-6.957951405314,-7.532,-8.116407475231007,-4.5206002221319395,-0.6149773240519999,-5.4116,2.5438147470814183,-1.7931352084034875,6.34025294266,2.120375468379,10.660222222312425,2.7274650137284517,-14734.079509383942,-638.9301545098564,148.52951002120972,0.9466581913448312,1.3965253996322222,1.389264452493615,1.8896152890558835,0.052905300822473904,0.009826898574829102,1.21095609664917,21.47941827774048,0.4415595531463623,122.76443338394165,0.0020759105682373047
gdb 22022,NC1=CC(C=NO1)=NO,-5.317104828308,-8.0968,-6.908689185634493,-3.7972522643765427,-1.208185539288,-6.3399,1.1699337230568476,-2.1801929855757307,4.10891928902,1.756853016784,8.07862290869134,1.617059278800812,-17462.363511579086,-757.2397454116226,270.53016543388367,0.41772805055520135,0.515706116058821,0.5372726105847884,0.491750308638778,0.03808345390402091,0.015343666076660156,0.9583156108856201,18.983476161956787,0.5124218463897705,247.29796719551086,0.0010237693786621094
gdb 24412,C1OC=NC2=C1OC=N2,-6.02732200343,-8.09,-7.6605232093693765,-5.449251762634791,-0.73470742254,-6.8476,2.044213216282934,-1.8794444780467467,5.29261458089,1.24237406408,9.70473642565231,3.5698072845880446,-16701.36726463756,-724.2398251023764,242.39891076087952,0.05672424536280031,0.23601445700380502,0.23569775907126478,0.24044048114049885,0.0011329537932707526,0.012192964553833008,0.45665693283081055,18.242595672607422,0.30672216415405273,220.63828825950623,0.0009756088256835938
gdb 28867,CC1=C(C)C(N)=NC=N1,-6.196032596754,-6.5094,-8.576585739831339,-5.851205025047193,-0.304767523424,-5.8947,3.241089417945382,-0.6814640300202123,5.89126507333,0.614703101073,11.817675157776721,5.169740995026981,-16381.078852804556,-710.3508051381604,304.26005721092224,0.23323556226761252,1.0615125732807218,1.0616551610110714,1.013573528845806,0.009475645022559796,0.02252936363220215,1.0031397342681885,32.35668325424194,0.7712993621826172,267.406462430954,0.0010857582092285156
gdb 29313,CC1=C(OC=C1N)C#N,-5.951130122574,-7.1935,-7.705157604053196,-5.374714276378009,-0.92518712468,-5.6064,2.228515898441522,-1.243093228104606,5.025942997894,1.587170821491,9.933673502494717,4.131621048273403,-16105.2215577988,-698.3885007398134,254.33791613578796,0.05765710180898303,0.09549340146476204,0.058527699510979754,0.07171599713124664,0.06635087375739686,0.02633190155029297,0.6768460273742676,21.082179307937622,0.600128173828125,229.2737762928009,0.0047719478607177734
gdb 42275,O=C(C#N)C1CC2OC12,-7.548438481947999,-8.9167,-11.093179068095113,-7.312501937106652,-2.405486524168,-6.4387,1.2974455540690135,-2.9135455635936545,5.14295195778,2.478045508756,12.390624622164125,4.3989563735129975,-16469.099729316553,-714.1677515713654,263.8793840408325,0.674694182920809,1.1521996764484193,1.1508600655188477,1.353820067239713,0.006245488801635034,0.015168428421020508,1.012265682220459,22.105571746826172,0.3552112579345703,237.60984110832214,0.0006794929504394531
gdb 43049,O=C1C2CN3C2CCC13,-5.861332548708,-7.0658,-9.341056230795473,-5.615494548026467,-0.304767523424,-1.5965,2.929113231509697,-1.607046209130864,5.556565025284,5.469334539366,12.27016946230517,4.008448338895603,-16580.948499727416,-719.0179732709861,378.40163230895996,0.19279312367014947,0.19495434465212672,0.1933858456876063,0.0042905762233671286,0.004132625398361558,0.06257152557373047,0.7963047027587891,22.62643790245056,0.5080277919769287,351.6236262321472,0.0008382797241210938
gdb 45561,O=C1CC2COCC2C1,-6.604203387054,-7.5439,-10.797105525514967,-6.603784289311976,-0.5959293538379999,0.0954,2.45277240287324,-1.9582568125921782,6.008274033216,7.639311613889,13.249877928388207,4.645527476719798,-17629.683161095076,-764.4954120754071,346.2452161312103,0.5823854208180428,0.7044839638594619,0.7026074811051374,0.4404903894497368,0.0038332891155311096,0.017099857330322266,1.315138578414917,37.42830014228821,0.5635278224945068,304.21799421310425,0.0008845329284667969
gdb 49736,O=CC1C2COCOC12,-6.511684674586,-7.6376,-10.403738444715788,-6.613615122018637,-0.5088529185740001,-2.7431,2.5532843108649925,-1.8114345822197846,6.002831756011999,4.894474967526,12.95702275558078,4.802180539798853,-18168.34683267512,-787.8540794894311,315.5714008808136,0.6654788058725318,0.665478805877773,0.6654788058777722,4.448814325430947e-11,4.065324199251974e-15,0.01777172088623047,0.9664862155914307,25.26924157142639,0.4497675895690918,286.18388199806213,0.0031900405883789062
gdb 51841,O=CCC1COCC1=O,-6.737539178552,-7.8844,-10.196664665705953,-5.958863647341346,-1.093897718004,-7.4383,2.7391064388838013,-1.7811451948868975,5.643641460547999,0.446148234672,12.935771104589755,4.177718452454449,-18186.956615748564,-788.6610760559242,297.81285405158997,0.6335603934092069,1.3913951264281155,1.3877162446596885,1.4041329377714344,0.011326098527730056,0.016726970672607422,0.9156346321105957,28.145294189453125,0.49338316917419434,265.49209356307983,0.0011529922485351562
gdb 68005,OC12CC(=O)C3OC1C23,-6.552501753615999,-7.5418,-10.270834958839265,-6.414505383409501,-0.7864090559779999,-3.3875,2.582542014099434,-1.9064993691331018,5.766092697638,4.154269780432,12.8533769729387,4.508006014276399,-17515.548690340576,-759.5460730286327,293.0896201133728,0.2207843140734343,0.21681875839781758,0.2209353812296237,0.011719965694933493,0.01212914990746858,0.011180400848388672,0.6867430210113525,22.23486351966858,0.4550755023956299,267.0079092979431,0.000995635986328125
gdb 88148,OC1CC11OCCC1=O,-6.416444823516,-7.1783,-9.41769352426464,-5.8880842749369,-0.729265145336,-2.3115,2.7996542852895807,-1.5053851432987773,5.68717967818,4.866713130812,12.217347809554221,4.382699131638123,-18180.952140927555,-788.4006973860049,304.78510570526123,0.1757507470221785,0.1664994872819294,0.17447721446351613,0.018324779290715593,0.017253426665868165,0.016030550003051758,0.743218183517456,23.03099513053894,0.6035778522491455,277.76330184936523,0.0009703636169433594
gdb 98574,COC(=O)C1=NCCN1,-6.084465914071999,-7.7331,-8.584474061752676,-5.60106725161881,-1.080292024994,-3.9214,1.9295518806168541,-1.8605763650772236,5.004173889078,3.811760139718,10.51402594236953,3.7404908865415862,-17991.783950757606,-780.1975883355442,273.42646384239197,0.08647481874208711,0.6792387310124935,0.7207437038185813,0.691608302518797,0.09806220045235799,0.014540672302246094,0.737879753112793,26.33925199508667,0.707404613494873,243.0214068889618,0.0010564327239990234
gdb 100494,CCC(C)C#CCC=O,-6.65318388189,-7.3853,-9.805617023796657,-6.5938679708072385,-0.712938313724,-4.7057,2.631655940153827,-1.9369918784302438,5.940245568166,2.679568081515,12.437272963950484,4.6568760923769945,-17017.241223735942,-737.9374162796081,359.16281032562256,0.38454662301289133,0.3807263586594197,0.3811184935299894,0.2647131266618775,0.007039573656708025,0.03324103355407715,1.603806972503662,77.08320307731628,0.6168491840362549,277.1889009475708,0.0008845329284667969
gdb 118924,CCCC1(O)COC1=O,-7.284488037553999,-7.8752,-9.45043721814677,-5.830536032814539,-0.187758563538,-4.0522,2.443539556281644,-1.8148827589424952,7.096729474015999,3.822942238796,11.893976774428415,4.015653273872044,-18825.527123774318,-816.3521139045038,325.08328580856323,0.3578505067097211,1.501003759880305,1.499564240582937,1.4371143764108112,0.015318841725947293,0.009313344955444336,1.154933214187622,30.193567037582397,0.6490533351898193,290.4068908691406,0.0010013580322265625
gdb 123702,C1C2OC3=C(ON=C3)C12,-5.994668340205999,-7.6982,-8.162973921429685,-5.675284739965695,-0.391843958688,-5.6255,2.2390567905976044,-1.4815149612879375,5.602824381517999,2.072753492398,10.40203071202729,4.193769778677758,-16475.427371588205,-714.4421441081871,271.12773299217224,0.3685440587139079,0.3757088368460192,0.3694119411282919,0.007678647442398509,0.0068104902050184525,0.010833501815795898,0.6546432971954346,18.622098684310913,0.35228991508483887,248.78457593917847,0.0012409687042236328
gdb 127919,CN=C1NC=NNC1=O,-6.16337893353,-7.827,-8.70384984792395,-5.753112248516756,-0.93879281769,-6.6049,1.8412144714741618,-1.9556850278763211,5.22458611584,1.222109184055,10.545064319398112,3.797427220640435,-17124.970207557595,-742.6089871255859,280.76028966903687,0.37372055590955267,0.9238626251471985,0.9221275023812036,0.7957671990592764,0.021725121513342535,0.013680696487426758,0.872081995010376,21.751144886016846,0.402132511138916,254.91405296325684,0.0010635852813720703
gdb 132794,NC1=C(F)C=NC=C1O,-5.910313043544,-7.1308,-8.41714754938011,-5.740789410823602,-0.087076435264,-6.1869,2.5911805652121043,-1.054987936493344,5.8259577468820005,0.943944105306,11.008328114592214,4.685801474330258,-17424.95114989392,-755.6173918728857,245.2823257446289,0.2076425168208494,0.21514398821578148,0.20741276300699732,0.012797954725917871,0.01264059847547164,0.013019800186157227,0.560767650604248,20.8122615814209,0.36484432220458984,220.77152299880981,0.0008826255798339844
